,,,,,,,,,,,,,,,,,,
,Plant and ELC Stock as at 02 July 2026 8:00 am,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Location,Warehouse Floor Stock as 8:00am with in-transit Bags,,,,,,,01 July 2026 Dispatch Bags,,,,,,,Inventory Days,,
,,Sanstha,SCCL Plus,MMC Plus,Marine plus composite MMC,Mahamera (MMC),Mahamera BHC (SCCL / MMC),Total,Sanstha,SCCL Plus,MMC Plus,Marine plus composite MMC,Mahamera (MMC),Mahamera BHC (SCCL / MMC),Total,,,MDT
,PCW,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  26,866 ",,"  12,646 ","  7,021 ","  7,921 ",,"  54,454 ",0,,
,RCW,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  6,577 ",,"  2,200 ","  2,230 ","  4,700 ",,"  15,707 ",0,,
,ELC Kurunegala ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,1640,,0,100,2035,,"  3,775 ",0,,"  80,224 "
,ELC Trincomalee,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  219 ,,  275 ,  180 ,  605 ,,"  1,279 ",0,,"  32,444 "
,ELC Kelaniya,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,735 ",,  -   ,"  1,210 ",  435 ,,"  3,380 ",0,,"  67,524 "
,ELC Kadawatha,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  2,795 ",,  160 ,"  2,820 ",  675 ,,"  6,450 ",0,,"  82,082 "
,ELC Piliyandala,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  2,730 ",,  -   ,  800 ,"  1,000 ",,"  4,530 ",0,,"  59,160 "
,ELC Hambantota,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  650 ,,  50 ,  920 ,  -   ,,"  1,620 ",0,,"  70,710 "
,ELC Kandy,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  575 ,,  200 ,  -   ,  -   ,,  775 ,0,,"  18,173 "
,ELC Watagoda,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,  -   ,N/A,,  553 
,ELC Badulla,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  360 ,,  100 ,  -   ,  -   ,,  460 ,0,,"  4,282 "
,Total,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  44,147 ",  -   ,"  15,631 ","  15,281 ","  17,371 ",  -   ,"  92,430 ",,,
,Warehouse Floor Stock as 8:00am without in-transit Bags,,,,,,,,01 July 2026 Dispatch Bags,,,,,,,,,
,ELC Watagoda,  -   ,,  212 ,  -   ,  162 ,,  374 ,  -   ,,  -   ,  -   ,  -   ,,  -   ,N/A,,
,ELC Badulla,  3 ,,  108 ,  -   ,  -   ,,  111 ,  360 ,,  100 ,  -   ,  -   ,,  460 ,460,,