Plant,Name 1,Valuation Area,Customer Number of Plant,Supplier Number of Plant,Factory Calendar,Name 2,Street and House No.,PO Box,Postal Code,City,latitude / longitude,Purch. Organization,Sls Organization ICB,Batch status mgmt,Conds. at plant level,Source list,MRP,Country/Region Key,Region,County Code,City Code,Address,Planning Plant,Tax Jurisdiction,Distrib.Channel,Interco. Billing Div,Language Key,SOP plant,Variance Key,Batch status mgmt,Plant Cat.,Sales District,Supply region,Tax Indicator: Plant,Regular Supplier,1st Reminder/Exped.,2nd Reminder/Exped.,3rd Reminder/Exped.,Text 1st dunning,Text 2nd dunning,Text 3rd dunning,PO tolerance,Business Place,Sales area detrm.,Distrib. profile of plant,Archiving Marker,Batch rec. DMS type,Node type:supply chain,Naming Structure,Cost Obj.Controlling,Mixed Costing,Actual Costing,Shipping Point/Receiving Pt,Actual Activities Updated,Control of Credit of Cost Centers,AF srce det. via ATP,Batch Management Not Active by Default,Supply Assignment (ARun),Season Active in Inventory Management,Control Data for BOM,Activate Variant Grouping,Assign Batches in ARun,Exchange valuation,Vendor type,Cred IPI?,Store Cat,Superior Dept. Store
2100,Tokyo Cement Corporate Office,2100,,,F8,Tokyo Cement Corporate Office,"Level 20, Access Tower II,",,00200,Colombo,"6.9198° N, 79.8573° E",2100,,,,,X,Sri Lanka,,,,257000,,,,,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2110,Tokyo Cement Colombo Warehouse,2110,P2110,,F7,Tokyo Cement Colombo Warehouse,"170, Asian Container Terminal,",,00300,Colombo,"6.9534° N, 79.8887° E",2100,2100,,,,,Sri Lanka,,,,257001,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2111,Tokyo Cement Kurunegala Warehouse,2111,P2111,,F7,Tokyo Cement Kurunegala Warehouse,"Dambulla Road, Yaggapitiya, Ku",,60000,Kurunegala,"7.4984° N, 80.3855° E",2100,2100,,,,,Sri Lanka,,,,257002,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2112,Tokyo Cement Trincomalee Warehouse,2112,P2112,,F7,Tokyo Cement Trincomalee Warehouse,"117 , NC Road , Uppuvelle, Tri",,31000,Trincomalee,"8.5992° N, 81.2174° E",2100,2100,,,,,Sri Lanka,,,,257003,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2113,Tokyo Cement Express Logistics Center,2113,P2113,,F7,Tokyo Cement Express Logistics Center,JMS Transport services and Eng,,11600,Kelaniya,"6.9538° N, 79.9142° E",2100,2100,,,,,Sri Lanka,,,,364569,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2114,Tokyo Cement Express Logistics - Kadawatha,2114,P2114,,F7,Tokyo Cement Express Logistics - Kadawatha,"No 573/5, Eldeniya, Kadawatha",,11850,Kadawatha,"7.0123° N, 79.9744° E",2100,2100,,,,,Sri Lanka,,,,413105,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2115,Tokyo Cement Express Logistics - Piliyandala,2115,P2115,,F7,Tokyo Cement Express Logistics - Piliyandala,Egodahena Waththa,,10300,Piliyandala,"6.8041° N, 79.9168° E",2100,2100,,,,,Sri Lanka,,,,413106,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2116,Tokyo Cement Express Logistics - Nuwara Eliya,2116,P2116,,F7,Tokyo Cement Express Logistics - Nuwara Eliya,"No 119, Udupusselllawa Road",,22200,Nuwara Eliya,"6.9710° N, 80.7826° E",,2100,,,,,Sri Lanka,,,,426592,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2117,Tokyo Cement Express Logistics - Hambanthota,2117,P2117,,F7,Tokyo Cement Express Logistics - Hambanthota,No 216; Ranna Road,,82220,Agunukolapalassa,"6.1622° N, 80.8973° E",,2100,,,,,Sri Lanka,,,,486955,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2118,Tokyo Cement Express Logistics - Kandy,2118,P2118,,F7,Tokyo Cement Express Logistics - Kandy,"No 402; Kurunegala Road,",,20072,Nugawela,"7.3323° N, 80.5756° E",2100,2100,,,,,Sri Lanka,,,,504179,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2119,Tokyo Cement Express Logistics - Badulla,2119,P2119,,F7,Tokyo Cement Express Logistics - Badulla,"Railway Station, Badulla",,90000,Badulla,"6.9798° N, 81.0598° E",2100,2100,,,,,Sri Lanka,,,,588742,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2120,PCW Preload Warehouse,2120,P2120,,F7,PCW Preload Warehouse,"P.O. Box 01, Palavi, Puttalam",,61300,Puttalam,"7.9797° N, 79.8291° E",2100,2100,,,,,Sri Lanka,,,,257004,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2121,RCW Preload Warehouse,2121,P2121,,F7,RCW Preload Warehouse,"Katugoda, Galle",,80000,Galle,"6.0334° N, 80.2410° E",2100,2100,,,,,Sri Lanka,,,,257005,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2122,Tokyo Cement Colombo Port,2122,P2122,,F7,Tokyo Cement Colombo Port,"Level 25, Access Tower II,",,00200,Colombo,"6.9198° N, 79.8573° E",2100,2100,,,,,Sri Lanka,,,,257006,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2123,Tokyo Cement Galle Port,2123,P2123,,F7,Tokyo Cement Galle Port,"Katugoda, Galle",,80000,Galle,"6.0334° N, 80.2410° E",2100,2100,,,,,Sri Lanka,,,,257007,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2124,Tokyo Cement Trinco Port,2124,P2124,,F7,Tokyo Cement Trinco Port,"299/150, 5th Mile Post, Kandy",,31000,Trincomalee,"8.5772° N, 81.1815° E",2100,2100,,,,,Sri Lanka,,,,257008,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2125,GCT Preload Plant,2125,P2125,,F7,GCT Preload Plant,"Port, Galle",,80000,Galle,"6.0315° N, 80.2235° E",2100,2100,,,,,Sri Lanka,,,,335716,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2126,Tokyo Cement Colombo Virtual WH,2126,P2126,,F7,Tokyo Cement Colombo Virtual WH,Colombo,,11830,Colombo,"6.9538° N, 79.8885° E",2100,2100,,,,,Sri Lanka,,,,341051,,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2127,Tokyo Cement Hambanthota Port,2127,P2127,,F7,Tokyo Cement Hambanthota Port,Hambanthota,,82000,Hambanthota,"6.1167° N, 81.1042° E",2100,2100,,,,,Sri Lanka,,,,380752,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2128,Tokyo Cement CMB Terminal Pre-load WH,2128,P2128,,F7,Tokyo Cement CMB Terminal Pre-load WH,"P.O. Box 1889, Silo Station",,00300,Colombo,"6.9514° N, 79.8478° E",2100,2100,,,,,Sri Lanka,,,,415465,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2129,Tokyo Cement Kadawatha Virtual WH,2129,P2129,,F7,Tokyo Cement Kadawatha Virtual WH,"No ;573/5, Eldeniya, Kadawatha",,11850,Kadawatha,"7.0123° N, 79.9744° E",2100,2100,,,,,Sri Lanka,,,,592292,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,,X,,1,,,,,,,,,,,,,
2130,Tokyo Cement 3RC - Watagoda,2130,P2130,,F7,Tokyo Cement 3RC - Watagoda,,,22110,Watagoda,"6.9748° N, 80.6653° E",2100,2100,,,,,Sri Lanka,20,,,611199,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2131,Tokyo Cement Colombo Terminal Virtual,2131,P2131,,F7,Tokyo Cement Colombo Terminal Virtual,"P.O. Box 1889, Silo Station",,00300,Colombo,"6.9514° N, 79.8478° E",2100,2100,,,,X,Sri Lanka,,,,657489,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2140,Puttalam Cement Works,2140,P2140,,F7,Puttalam Cement Works,"P.O. Box 01, Palavi, Puttalam",,61300,Puttalam,"7.9881° N, 79.8673° E",2100,2100,,,,X,Sri Lanka,,,,257009,2140,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2141,Ruhunu Cement Works,2141,P2141,,F7,Ruhunu Cement Works,"Katugoda, Galle",,80000,Galle,"6.0355° N, 80.2415° E",2100,2100,,,,X,Sri Lanka,,,,257010,2141,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2142,Tricomalee Cement Terminal,2142,P2142,,F7,Tricomalee Cement Terminal,"299/150, 5th Mile Post, Kandy",,31000,Trincomalee,"8.5752° N, 81.1969° E",2100,2100,,,,X,Sri Lanka,,,,257011,2142,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,,X,,1,,,,,,,,,,,,,
2143,AFR-Puttalam Cement Works,2143,P2143,,F7,AFR-Puttalam Cement Works,"P.O. Box 01, Palavi, Puttalam",,61300,Puttalam,"7.9881° N, 79.8673° E",2100,2100,,,,X,Sri Lanka,,,,257012,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2144,Pre Processing Facility-KEPZ,2144,P2144,,F7,Pre Processing Facility-KEPZ,"25A, Phase 01, Export Processi",,11450,Katunayaka,"7.1648° N, 79.8931° E",2100,2100,,,,X,Sri Lanka,,,,257013,,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2145,Galle Cement Terminal,2145,P2145,,F7,Galle Cement Terminal,"Port, Galle",,80000,Galle,"6.0282° N, 80.2450° E",2100,2100,,,,X,Sri Lanka,,,,335717,2145,,IC,OT,EN,,,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
2146,Colombo Cement Terminal,2146,P2146,,F7,Colombo Cement Terminal,"P.O. Box 1889, Silo Station",,00300,Colombo,"6.9514° N, 79.8478° E",2100,2100,,,,X,Sri Lanka,,,,415466,2145,,IC,OT,EN,,000001,,,,,,,0,0,0,,,,0,0000,,,,,,0001,,X,X,,1,,,,,,,,,,,,,
